,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
483,-14066.11,-17361.7,208755.66,0.0,0.0,0.0,0.0,208754.67,112791.61,64774.47,17166.88,8676.24,226116.36,OH,PSA Airlines Inc.,D,2020,1,
484,-13813.53,-128728.72,133391.73,0.0,0.0,0.0,5.87,133505.37,99853.21,42158.07,9113.71,39863.41,262234.09,MQ,Envoy Air,D,2020,2,
485,-13389.07,-10657.34,2078.11,0.0,0.0,19.95,0.0,3331.15,2667.58,1089.91,0.0,0.0,13988.49,3M,Silver Airways,D,2020,2,
486,-12777.0,-29362.0,15123.0,0.0,453.0,69.0,130.0,19806.0,18681.0,4056.0,6371.0,10514.0,49168.0,WN,Southwest Airlines Co.,L,2020,3,
487,-12400.58,-61818.21,129597.72,0.0,0.0,0.0,0.0,129597.72,97768.79,39043.6,12074.5,7535.25,191415.93,OH,PSA Airlines Inc.,D,2020,2,
488,-11757.9,-27084.03,9103.15,0.0,2.72,446.49,2474.68,12612.6,12329.49,4218.31,3694.61,7814.22,39696.63,B6,JetBlue Airways,L,2020,2,
489,-11412.17,-6616.67,0.0,0.0,0.0,1444.81,0.0,6553.77,7817.13,1985.07,815.25,619.38,13170.43,N8,National Air Cargo Group Inc d/ba National Airlines,D,2020,3,
490,-11342.5,-11342.5,4056.9,8134.58,41461.18,0.0,489.08,57233.69,33211.17,7025.97,4173.04,5635.48,68576.2,AA,American Airlines Inc.,P,2020,2,
491,-9617.36,-3363.4,0.0,0.0,0.0,2058.21,0.0,64607.88,27693.83,32233.05,269.7,2065.49,67971.27,8C,Air Transport International,D,2020,2,
492,-9566.39,-4801.15,0.0,0.0,0.0,1812.46,0.0,1812.57,897.8,437.69,324.55,2222.02,6613.72,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,2020,3,
493,-9437.44,-9270.99,0.0,4511.68,1691.13,0.0,1198.49,15222.89,6999.4,9864.09,0.0,2272.1,24493.88,L2,Lynden Air Cargo Airlines,D,2020,1,
494,-8863.91,-8868.43,36169.55,0.0,0.0,0.0,6.24,36175.79,12030.5,20619.02,4857.15,3204.74,45044.22,CP,Compass Airlines,D,2020,1,
495,-8785.21,-8789.28,98469.09,0.0,0.0,0.0,0.0,98469.09,39550.45,32186.65,7180.52,4782.68,107258.37,EV,ExpressJet Airlines LLC,D,2020,1,
496,-8575.0,-23410.0,7562.0,0.0,-102.0,245.0,0.0,8676.0,10880.0,3415.0,2841.0,4713.0,32086.0,AS,Alaska Airlines Inc.,L,2020,2,
497,-8294.56,-8232.08,,0.0,0.0,0.0,76130.88,82707.96,3901.38,1658.61,0.0,275.68,90940.04,U7,USA Jet Airlines Inc.,D,2020,1,
498,-8181.65,-16622.66,19568.7,0.0,0.0,0.0,1.92,19570.62,15782.83,11921.74,544.82,2161.28,36193.28,G7,GoJet Airlines LLC d/b/a United Express,D,2020,2,
499,-7791.86,-5023.98,15634.25,0.0,0.0,-2.38,0.0,18756.66,8411.04,2810.21,,,23780.64,3M,Silver Airways,D,2020,1,
